Physical Time: Physical Time (s),star
0.3525,1473.708125
0.353,1473.708357
0.3535,1473.708586
0.354,1473.708814
0.3545,1473.709041
0.355,1473.709265
0.3555,1473.709487
0.356,1473.709708
0.3565,1473.709926
0.357,1473.710143
0.3575,1473.710358
0.358,1473.710571
0.3585,1473.710782
0.359,1473.710992
0.3595,1473.711199
0.36,1473.711405
0.3605,1473.711609
0.361,1473.711811
0.3615,1473.712011
0.362,1473.71221
0.3625,1473.712407
0.363,1473.712602
0.3635,1473.712795
0.364,1473.712986
0.3645,1473.713176
0.365,1473.713364
0.3655,1473.71355
0.366,1473.713735
0.3665,1473.713918
0.367,1473.714099
0.3675,1473.714278
0.368,1473.714456
0.3685,1473.714632
0.369,1473.714806
0.3695,1473.714979
0.37,1473.71515
0.3705,1473.715319
0.371,1473.715487
0.3715,1473.715653
0.372,1473.715817
0.3725,1473.71598
0.373,1473.716141
0.3735,1473.716301
0.374,1473.716458
0.3745,1473.716615
0.375,1473.716769
0.3755,1473.716922
0.376,1473.717074
0.3765,1473.717224
0.377,1473.717372
0.3775,1473.717519
0.378,1473.717664
0.3785,1473.717807
0.379,1473.71795
0.3795,1473.71809
0.38,1473.718229
0.3805,1473.718366
0.381,1473.718502
0.3815,1473.718637
0.382,1473.71877
0.3825,1473.718901
0.383,1473.719031
0.3835,1473.719159
0.384,1473.719286
0.3845,1473.719412
0.385,1473.719536
0.3855,1473.719658
0.386,1473.719779
0.3865,1473.719899
0.387,1473.720017
0.3875,1473.720134
0.388,1473.720249
0.3885,1473.720363
0.389,1473.720475
0.3895,1473.720586
0.39,1473.720696
0.3905,1473.720804
0.391,1473.72091
0.3915,1473.721016
0.392,1473.72112
0.3925,1473.721222
0.393,1473.721324
0.3935,1473.721423
0.394,1473.721522
0.3945,1473.721619
0.395,1473.721715
0.3955,1473.721809
0.396,1473.721902
0.3965,1473.721994
0.397,1473.722084
0.3975,1473.722173
0.398,1473.722261
0.3985,1473.722347
0.399,1473.722433
0.3995,1473.722516
0.4,1473.722599
0.4005,1473.72268
0.401,1473.72276
0.4015,1473.722839
0.402,1473.722916
0.4025,1473.722992
0.403,1473.723067
0.4035,1473.72314
0.404,1473.723213
0.4045,1473.723284
0.405,1473.723354
0.4055,1473.723422
0.406,1473.72349
0.4065,1473.723556
0.407,1473.723621
0.4075,1473.723684
0.408,1473.723747
0.4085,1473.723808
0.409,1473.723868
0.4095,1473.723927
0.41,1473.723984
0.4105,1473.724041
0.411,1473.724096
0.4115,1473.72415
0.412,1473.724203
0.4125,1473.724255
0.413,1473.724306
0.4135,1473.724355
0.414,1473.724403
0.4145,1473.724451
0.415,1473.724497
0.4155,1473.724541
0.416,1473.724585
0.4165,1473.724628
0.417,1473.724669
0.4175,1473.72471
0.418,1473.724749
0.4185,1473.724787
0.419,1473.724824
0.4195,1473.72486
0.42,1473.724895
0.4205,1473.724928
0.421,1473.724961
0.4215,1473.724993
0.422,1473.725023
0.4225,1473.725053
0.423,1473.725081
0.4235,1473.725108
0.424,1473.725134
0.4245,1473.72516
0.425,1473.725184
0.4255,1473.725207
0.426,1473.725229
0.4265,1473.72525
0.427,1473.72527
0.4275,1473.725289
0.428,1473.725307
0.4285,1473.725324
0.429,1473.72534
0.4295,1473.725354
0.43,1473.725368
0.4305,1473.725381
0.431,1473.725393
0.4315,1473.725404
0.432,1473.725414
0.4325,1473.725423
0.433,1473.725431
0.4335,1473.725438
0.434,1473.725444
0.4345,1473.725449
0.435,1473.725453
0.4355,1473.725456
0.436,1473.725458
0.4365,1473.725459
0.437,1473.72546
0.4375,1473.725459
0.438,1473.725457
0.4385,1473.725455
0.439,1473.725451
0.4395,1473.725447
0.44,1473.725442
0.4405,1473.725435
0.441,1473.725428
0.4415,1473.72542
0.442,1473.725411
0.4425,1473.725401
0.443,1473.72539
0.4435,1473.725379
0.444,1473.725366
0.4445,1473.725353
0.445,1473.725339
0.4455,1473.725323
0.446,1473.725307
0.4465,1473.72529
0.447,1473.725272
0.4475,1473.725254
0.448,1473.725234
0.4485,1473.725214
0.449,1473.725193
0.4495,1473.725171
0.45,1473.725148
0.4505,1473.725124
0.451,1473.725099
0.4515,1473.725074
0.452,1473.725047
0.4525,1473.72502
0.453,1473.724992
0.4535,1473.724964
0.454,1473.724934
0.4545,1473.724904
0.455,1473.724873
0.4555,1473.724841
0.456,1473.724808
0.4565,1473.724774
0.457,1473.72474
0.4575,1473.724705
0.458,1473.724669
0.4585,1473.724632
0.459,1473.724594
0.4595,1473.724556
0.46,1473.724517
0.4605,1473.724477
0.461,1473.724437
0.4615,1473.724395
0.462,1473.724353
0.4625,1473.72431
0.463,1473.724267
0.4635,1473.724222
0.464,1473.724177
0.4645,1473.724131
0.465,1473.724084
0.4655,1473.724037
0.466,1473.723989
0.4665,1473.72394
0.467,1473.723891
0.4675,1473.72384
0.468,1473.723789
0.4685,1473.723738
0.469,1473.723685
0.4695,1473.723632
0.47,1473.723578
0.4705,1473.723524
0.471,1473.723468
0.4715,1473.723412
0.472,1473.723356
0.4725,1473.723298
0.473,1473.72324
0.4735,1473.723182
0.474,1473.723122
0.4745,1473.723062
0.475,1473.723001
0.4755,1473.72294
0.476,1473.722878
0.4765,1473.722815
0.477,1473.722752
0.4775,1473.722688
0.478,1473.722623
0.4785,1473.722557
0.479,1473.722491
0.4795,1473.722425
0.48,1473.722357
0.4805,1473.722289
0.481,1473.722221
0.4815,1473.722151
0.482,1473.722081
0.4825,1473.722011
