Physical Time: Physical Time (s),star,cowan,parker,rectangle,star/ana
0.1135,1473.2319510000,1473.096084,1473.10443,1473.09641373850,1.000067361
0.114,1473.2339680000,1473.097151,1473.105625,1473.09748092338,1.000068002
0.1145,1473.2359840000,1473.09822,1473.106822,1473.09854929514,1.000068643
0.115,1473.2379990000,1473.09929,1473.108021,1473.09961877844,1.000069284
0.1155,1473.2400130000,1473.100361,1473.109221,1473.10068929886,1.000069925
0.116,1473.2420260000,1473.101433,1473.110424,1473.10176078295,1.000070566
0.1165,1473.2440370000,1473.102505,1473.111628,1473.10283315823,1.000071207
0.117,1473.2460480000,1473.103579,1473.112834,1473.10390635311,1.000071849
0.1175,1473.2480570000,1473.104653,1473.114041,1473.10498029700,1.00007249
0.118,1473.2500640000,1473.105728,1473.11525,1473.10605492021,1.00007313
0.1185,1473.2520700000,1473.106804,1473.116461,1473.10713015400,1.00007377
0.119,1473.2540740000,1473.10788,1473.117672,1473.10820593055,1.000074411
0.1195,1473.2560770000,1473.108957,1473.118885,1473.10928218297,1.000075051
0.12,1473.2580770000,1473.110034,1473.120099,1473.11035884531,1.000075691
0.1205,1473.2600760000,1473.111111,1473.121314,1473.11143585250,1.00007633
0.121,1473.2620730000,1473.112189,1473.122531,1473.11251314040,1.000076969
0.1215,1473.2640670000,1473.113267,1473.123748,1473.11359064580,1.000077608
0.122,1473.2660590000,1473.114345,1473.124966,1473.11466830634,1.000078246
0.1225,1473.2680490000,1473.115423,1473.126185,1473.11574606061,1.000078884
0.123,1473.2700370000,1473.116501,1473.127405,1473.11682384804,1.000079521
0.1235,1473.2720220000,1473.117579,1473.128625,1473.11790160898,1.000080158
0.124,1473.2740050000,1473.118657,1473.129847,1473.11897928464,1.000080794
0.1245,1473.2759850000,1473.119735,1473.131068,1473.12005681711,1.00008143
0.125,1473.2779630000,1473.120813,1473.132291,1473.12113414934,1.000082065
0.1255,1473.2799380000,1473.12189,1473.133513,1473.12221122514,1.000082699
0.126,1473.2819090000,1473.122967,1473.134736,1473.12328798917,1.000083333
0.1265,1473.2838790000,1473.124044,1473.13596,1473.12436438693,1.000083966
0.127,1473.2858450000,1473.12512,1473.137184,1473.12544036479,1.000084598
0.1275,1473.2878080000,1473.126196,1473.138408,1473.12651586990,1.00008523
0.128,1473.2897680000,1473.127272,1473.139632,1473.12759085028,1.00008586
0.1285,1473.2917250000,1473.128346,1473.140856,1473.12866525476,1.000086491
0.129,1473.2936780000,1473.12942,1473.14208,1473.12973903295,1.000087119
0.1295,1473.2956280000,1473.130494,1473.143304,1473.13081213530,1.000087748
0.13,1473.2975750000,1473.131567,1473.144529,1473.13188451304,1.000088375
0.1305,1473.2995190000,1473.132639,1473.145753,1473.13295611819,1.000089001
0.131,1473.3014590000,1473.13371,1473.146977,1473.13402690356,1.000089627
0.1315,1473.3033960000,1473.13478,1473.1482,1473.13509682272,1.000090251
0.132,1473.3053290000,1473.135849,1473.149424,1473.13616583002,1.000090875
0.1325,1473.3072580000,1473.136918,1473.150647,1473.13723388056,1.000091497
0.133,1473.3091840000,1473.137985,1473.151869,1473.13830093021,1.000092119
0.1335,1473.3111060000,1473.139052,1473.153092,1473.13936693556,1.000092739
0.134,1473.3130240000,1473.140117,1473.154313,1473.14043185395,1.000093359
0.1345,1473.3149380000,1473.141181,1473.155535,1473.14149564346,1.000093978
0.135,1473.3168480000,1473.142244,1473.156755,1473.14255826287,1.000094594
0.1355,1473.3187550000,1473.143306,1473.157976,1473.14361967169,1.000095211
